siteCode,secondOctet,city,firstLineAddress,floorNumber,stackNumber,stackMembers,relativeSwitchNumber
WDC,17,Washington DC,1999 K. St. B1 Computer Room,Basement,1,2,0
WDC,17,Washington DC,1999 K. St. B1 Computer Room,Floor1,1,2,1
WDC,17,Washington DC,1999 K. St. B1 Computer Room,Floor2,1,3,2
WDC,17,Washington DC,1999 K. St. B1 Computer Room,Floor3,1,1,3
WDC,17,Washington DC,1999 K. St. B1 Computer Room,Floor3,2,1,4
WDC,17,Washington DC,1999 K. St. B1 Computer Room,Floor3,3,1,5
WDC,17,Washington DC,1999 K. St. B1 Computer Room,Floor6,1,4,6
WDC,17,Washington DC,1999 K. St. B1 Computer Room,Floor7,1,4,7
WDC,17,Washington DC,1999 K. St. B1 Computer Room,Floor8,1,4,8
WDC,17,Washington DC,1999 K. St. B1 Computer Room,Floor9,1,4,9
WDC,17,Washington DC,1999 K. St. B1 Computer Room,Floor10,1,4,10
WDC,17,Washington DC,1999 K. St. B1 Computer Room,Floor11,1,4,11
WDC,17,Washington DC,1999 K. St. B1 Computer Room,Floor12,1,4,12
